Roll No,Score,Rank
10518,43,42
10567,43,42
10665,43,42
10667,43,42
10690,43,42
10698,43,42
10701,43,42
10725,43,42
10786,43,42
10092,42,43
10096,42,43
10105,42,43
10120,42,43
10210,42,43
10218,42,43
10245,42,43
10319,42,43
10351,42,43
10407,42,43
10489,42,43
10517,42,43
10626,42,43
10629,42,43
10663,42,43
10752,42,43
10788,42,43
10802,42,43
10042,41,44
10068,41,44
10086,41,44
10121,41,44
10133,41,44
10219,41,44
10221,41,44
10228,41,44
10249,41,44
10266,41,44
10274,41,44
10287,41,44
10289,41,44
10316,41,44
10344,41,44
10368,41,44
10402,41,44
10405,41,44
10409,41,44
10451,41,44
10574,41,44
10676,41,44
10731,41,44
10754,41,44
10758,41,44
10030,40,45
10033,40,45
10060,40,45
10062,40,45
10126,40,45
10167,40,45
10173,40,45
10253,40,45
10258,40,45
10329,40,45
10370,40,45
10398,40,45
10431,40,45
10613,40,45
10625,40,45
10658,40,45
10722,40,45
10063,39,46
10146,39,46
10170,39,46
10217,39,46
10231,39,46
10270,39,46
10298,39,46
10338,39,46
10353,39,46
10369,39,46
10394,39,46
10401,39,46
10445,39,46
10464,39,46
10479,39,46
10511,39,46
10516,39,46
10528,39,46
10585,39,46
10597,39,46
10664,39,46
10680,39,46
10700,39,46
10711,39,46
10753,39,46
11501,39,46
10109,38,47
10138,38,47
10150,38,47
10154,38,47
10180,38,47
10203,38,47
10211,38,47
10284,38,47
10498,38,47
10505,38,47
10507,38,47
10519,38,47
10533,38,47
10579,38,47
10594,38,47
10617,38,47
10785,38,47
10803,38,47
10811,38,47
10076,37,48
10077,37,48
10084,37,48
10136,37,48
10189,37,48
10197,37,48
10272,37,48
10313,37,48
10380,37,48
10425,37,48
10463,37,48
10492,37,48
10495,37,48
10555,37,48
10650,37,48
10697,37,48
10718,37,48
10813,37,48
10814,37,48
10019,36,49
10023,36,49
10051,36,49
10065,36,49
10158,36,49
10190,36,49
10230,36,49
10259,36,49
10334,36,49
10420,36,49
10465,36,49
10485,36,49
10646,36,49
10727,36,49
10739,36,49
10789,36,49
10001,35,50
10110,35,50
10134,35,50
10164,35,50
10168,35,50
10172,35,50
10213,35,50
10261,35,50
10299,35,50
10301,35,50
10328,35,50
10366,35,50
10373,35,50
10381,35,50
10384,35,50
10587,35,50
10677,35,50
10679,35,50
10734,35,50
10767,35,50
10768,35,50
10805,35,50
10011,34,51
